country	immigrants_in_Hungary	population_in_original_country
Austria	351	9006398
Belgium	191	11589623
Bulgaria	76	6948445
Canada	240	37742154
China	1,993	1439323776
Croatia	179	4105267
Denmark	45	5792202
Finland	76	5540720
France	434	65273511
Germany	2,525	83783942
Greece	114	10423054
Ireland	118	4937786
Israel	227	8655535
Italy	552	60461826
Japan	552	126476461
Luxembourg	8	625978
Mongolia	708	3278290
Netherlands	503	17134872
Nigeria	206	206139589
Norway	162	5421241
Poland	299	37846611
Portugal	103	10196709
Romania	2,853	19237691
Russia	868	145934462
Serbia	2,917	8737371
Slovakia	1,494	5459642
Spain	286	46754778
Sweden	182	10099265
Switzerland	148	8654622
Syria	294	17500658
Turkey	956	84339067
Ukraine	16,699	43733762
United Kingdom	498	67886011
United States	1,260	331002651
Vietnam	1,279	97338579
